MEP,Part_Anon,Stimulus,Timepoint,MEP_P2P,MEP_AUC,LBase_P2P,LBase_AUC,Target_Error,Angular_Error,Twist_Error,Allow_1st_Trial,Allow_Loc_Error,Allow_MEP,ALLOW,Study_Group,Filter_insuff_data,Filter_sig_dif_base,FILTER
162,1,4,500,1.66015625,40.0252533,1.399841309,124.7988129,0.235,2.572,0.8,1,1,0,0,100,0,1,0
163,1,1,200,1.903686523,42.40158081,1.78237915,158.1853485,0.967,2.705,0.801,1,1,1,1,100,0,1,0
164,1,3,500,1.769866943,38.23753357,1.471405029,121.2744141,0.514,2.975,0.679,1,1,0,0,100,0,1,0
165,1,4,500,2.476959229,48.74649048,1.827392578,145.9899139,0.572,2.962,0.955,1,1,0,0,100,0,1,0
166,1,1,200,1.63848877,33.10935974,1.244049072,106.9415283,0.867,2.855,1.023,1,1,0,0,100,0,1,0
167,1,3,500,2.549743652,52.8527832,2.27722168,163.6483765,0.836,3.285,1.388,1,1,0,0,100,0,1,0
168,1,4,200,2.275848389,47.85728455,1.820526123,166.958313,0.614,3.6,1.761,1,1,0,0,100,0,1,0
169,1,1,200,3.212890625,56.0974884,2.092437744,192.1780396,0.115,3.979,1.382,1,1,0,0,100,0,1,0
170,1,3,500,2.229766846,61.2625885,2.321166992,203.8735199,0.754,3.525,1.92,1,1,0,0,100,0,1,0
171,1,4,200,2.405853271,44.28764343,2.293395996,158.4649658,0.735,4.112,2.025,1,1,0,0,100,0,1,0
172,1,1,500,0.382080078,10.08209229,0.187683105,15.03913879,1.328,4.433,2.464,1,1,1,1,100,0,1,0
173,1,3,500,2.672424316,48.25675964,1.839904785,156.4372253,0.157,3.172,2.225,1,1,0,0,100,0,1,0
174,1,4,200,2.209472656,41.96662903,1.543731689,129.1643524,0.534,3.395,2.686,1,1,0,0,100,0,1,0
175,1,1,500,1.731109619,32.44338989,1.695251465,102.274704,1.28,4.7,-0.408,1,1,1,1,100,0,1,0
176,1,3,200,1.492614746,21.73370361,0.521087646,30.13069153,0.671,3.851,-3.222,1,1,0,0,100,0,1,0
177,1,4,200,1.212463379,16.00845337,0.653839111,38.24676514,0.408,4.114,-1.975,1,1,0,0,100,0,1,0
178,1,1,500,1.354827881,25.91522217,0.979003906,57.5705719,0.755,4.055,-1.355,1,1,0,0,100,0,1,0
179,1,3,200,0.861968994,16.33468628,0.605316162,47.99690247,0.962,7.207,-0.088,1,1,0,0,100,0,1,0
180,1,4,500,0.57510376,9.547958374,0.358734131,28.84361267,0.415,2.852,1.279,1,1,0,0,100,0,1,0
181,1,1,500,0.7421875,16.0710144,0.776519775,54.62379456,0.434,2.92,1.471,0,1,0,0,100,0,1,0
182,1,3,200,0.80581665,15.43479919,0.610961914,44.03404236,0.971,2.905,1.409,1,1,0,0,100,0,1,0
183,1,4,500,0.914459229,14.38934326,0.473022461,41.00563049,0.244,3.921,1.313,1,1,0,0,100,0,1,0
184,1,1,200,0.897521973,14.45510864,0.561523438,46.37451172,1.118,3.895,0.87,1,1,0,0,100,0,1,0
185,1,3,200,0.853729248,16.89353943,0.652770996,54.97489929,0.721,3.882,1.036,1,1,0,0,100,0,1,0
186,1,4,500,1.449127197,21.74346924,0.880279541,61.42745972,1.107,4.559,2.044,1,1,0,0,100,0,1,0
187,1,1,200,1.122741699,21.85951233,0.945587158,58.88793945,0.94,3.94,1.177,1,1,0,0,100,0,1,0
188,1,3,500,1.288757324,24.75021362,0.992431641,71.14356995,0.903,4.079,1.709,1,1,0,0,100,0,1,0
189,1,4,500,1.208953857,24.15512085,0.882568359,68.8293457,0.719,3.599,2.262,1,1,0,0,100,0,1,0
190,1,1,200,1.266021729,23.58703613,0.873413086,76.82373047,0.174,4.215,2.517,1,1,0,0,100,0,1,0
191,1,3,500,1.744537354,18.24111938,0.993347168,70.01403809,1.748,4.189,1.97,1,1,1,1,100,0,1,0
192,1,4,200,1.38092041,25.67817688,0.964660645,80.42068481,0.549,3.897,1.303,1,1,0,0,100,0,1,0
193,1,1,200,1.001739502,23.49838257,0.963745117,80.57388306,1.312,4.044,1.045,1,1,0,0,100,0,1,0
194,1,3,500,1.11038208,26.12319946,0.909118652,77.75024414,0.338,4.211,2.353,1,1,0,0,100,0,1,0
195,1,4,200,1.326293945,25.30426025,0.999755859,86.12678528,0.618,3.582,3.305,1,1,0,0,100,0,1,0
196,1,1,500,1.142425537,21.47140503,1.054229736,75.85067749,0.766,3.146,3.787,1,1,0,0,100,0,1,0
197,1,3,500,1.004943848,23.54499817,0.988769531,74.69009399,0.417,2.959,4.085,1,1,0,0,100,0,1,0
198,1,4,200,1.399688721,20.01937866,0.827636719,63.56834412,0.43,3.702,3.899,1,1,0,0,100,0,1,0
199,1,1,500,1.021881104,20.55290222,0.987548828,76.21337891,0.347,4.017,4.45,1,1,0,0,100,0,1,0
200,1,3,200,2.631835938,55.56556702,0.844421387,66.97944641,1.099,1.986,4.477,1,1,1,1,100,0,1,0
201,1,4,200,0.873565674,20.7232666,0.920715332,71.42555237,0.184,3.18,1.549,1,1,1,1,100,0,1,0
202,1,1,500,1.109466553,23.09402466,0.748291016,63.52500916,0.825,2.891,1.7,1,1,1,1,100,0,1,0
203,1,3,200,1.2550354,16.29058838,1.523590088,22.83828735,1.379,3.774,2.433,1,1,0,0,100,0,1,0
204,1,4,500,1.375579834,21.73942566,0.866088867,54.47563171,0.452,3.19,2.438,1,1,1,1,100,0,1,0
205,1,1,500,1.171569824,21.47468567,1.019287109,58.17047119,0.931,3.211,2.338,1,1,1,1,100,0,1,0
206,1,3,200,1.285247803,30.32531738,2.079772949,83.90579224,1.023,2.324,6.405,1,1,1,1,100,0,1,0
207,1,4,500,1.142272949,19.6761322,1.052246094,75.61645508,0.752,2.333,7.132,1,1,1,1,100,0,1,0
208,1,1,200,0.938720703,25.02494812,0.887145996,70.78231812,0.958,2.242,8.226,1,1,1,1,100,0,1,0
209,1,3,200,1.091766357,24.59083557,0.875244141,72.77954102,0.826,2.871,8.639,1,1,0,0,100,0,1,0
210,1,4,500,2.053985596,33.25614929,1.34185791,112.6462555,0.94,3.128,8.851,1,1,0,0,100,0,1,0
211,1,1,200,1.374053955,29.8903656,1.251373291,105.2527618,0.678,3.715,9.018,0,1,0,0,100,0,1,0
212,1,3,500,1.519470215,30.31448364,1.678161621,116.8461609,0.794,3.746,8.764,1,1,0,0,100,0,1,0
213,1,4,500,1.412353516,29.68185425,1.032562256,92.43537903,2.074,3.837,8.069,1,0,0,0,100,0,1,0
214,1,1,200,1.941375732,33.42720032,1.159820557,95.53604126,0.806,4.592,8.19,1,1,0,0,100,0,1,0
215,1,3,500,1.443939209,27.46917725,1.222076416,109.0555573,0.537,4.612,8.612,1,1,0,0,100,0,1,0
216,1,4,200,1.694335938,33.5823822,1.308898926,110.7202148,0.749,4.944,8.503,1,1,0,0,100,0,1,0
217,1,1,200,1.547393799,38.86863708,1.379699707,111.2580872,0.486,4.855,9.289,1,1,0,0,100,0,1,0
