MEP,Part_Anon,Stimulus,Timepoint,MEP_P2P,MEP_AUC,SBase_P2P,SBase_AUC,Target_Error,Angular_Error,Twist_Error,Allow_1st_Trial,Allow_Loc_Error,Allow_MEP,ALLOW,Study_Group,Filter_insuff_data,Filter_sig_dif_base,FILTER
106,1,1,500,0.033721924,2.834243774,0.042572021,1.07925415,0.846,2.693,0.38,1,1,0,0,100,0,1,0
107,1,3,200,4.259796143,37.86003113,0.324707031,3.002548218,1.061,3.192,0.378,1,1,0,0,100,0,1,0
108,1,4,500,1.109466553,23.08029175,0.548706055,5.911865234,0.671,3.435,0.68,1,1,0,0,100,0,1,0
109,1,1,500,0.715789795,17.26272583,0.558319092,4.906005859,0.861,4.47,0.302,1,1,0,0,100,0,1,0
110,1,3,200,1.045074463,19.47105408,0.704040527,5.037994385,0.447,3.909,1.037,1,1,0,0,100,0,1,0
111,1,4,500,1.251983643,24.43603516,0.960693359,7.258911133,0.81,2.492,1.216,1,1,0,0,100,0,1,0
112,1,1,200,1.598052979,29.12742615,0.92590332,8.662185669,0.714,3.894,1.808,1,1,0,0,100,0,1,0
113,1,3,200,1.958312988,44.61807251,1.333312988,15.43029785,0.953,2.71,1.916,1,1,0,0,100,0,1,0
114,1,4,500,1.647949219,32.20565796,1.309509277,16.46659851,0.531,4.1,1.583,1,1,0,0,100,0,1,0
115,1,1,200,1.904296875,36.42105103,0.999145508,8.287124634,0.855,4.472,2.44,1,1,0,0,100,0,1,0
116,1,3,500,2.003631592,30.52574158,0.949401855,9.738388062,0.234,2.449,3.624,1,1,0,0,100,0,1,0
117,1,4,500,2.051696777,44.3875885,1.415710449,19.0348053,0.376,3.038,3.833,1,1,0,0,100,0,1,0
118,1,1,200,1.818847656,40.27496338,1.527709961,19.5375061,0.767,3.486,4.246,1,1,0,0,100,0,1,0
119,1,3,500,2.320861816,38.37516785,1.428222656,17.27684021,0.529,5.481,5.488,1,1,0,0,100,0,1,0
120,1,4,200,1.960144043,37.16423035,0.977020264,11.19720459,0.748,4.354,5.152,1,1,0,0,100,0,1,0
121,1,1,200,1.728057861,32.73353577,0.830688477,9.112625122,0.732,4.82,6.293,0,1,0,0,100,0,1,0
122,1,3,500,2.146759033,39.1619873,1.066131592,11.50474548,0.782,3.121,6.74,1,1,0,0,100,0,1,0
123,1,4,200,1.411590576,28.98292542,0.92956543,6.731262207,1.149,3.236,6.697,1,1,0,0,100,0,1,0
124,1,1,500,1.165924072,29.51026917,0.996856689,11.02058411,0.504,5.054,3.521,1,1,0,0,100,0,1,0
125,1,3,500,0.191497803,4.331817627,0.03692627,0.977859497,0.43,0.975,0.364,1,1,0,0,100,0,1,0
126,1,4,200,0.177764893,4.654312134,0.055389404,1.08581543,0.586,1.47,-0.003,1,1,0,0,100,0,1,0
127,1,1,500,0.102996826,3.392868042,0.043182373,1.093826294,0.638,2.08,0.438,1,1,0,0,100,0,1,0
128,1,3,200,0.810089111,13.49868774,0.404815674,4.776535034,1.597,2.114,0.843,1,1,0,0,100,0,1,0
129,1,4,200,0.283660889,5.747299194,0.065917969,1.442947388,1.217,2.705,-0.353,1,1,0,0,100,0,1,0
130,1,1,500,1.506195068,28.67500305,0.470581055,5.249023438,0.982,3.607,-0.36,1,1,1,1,100,0,1,0
131,1,3,200,0.767822266,17.7961731,0.609436035,7.050857544,0.794,3.26,-0.291,1,1,1,1,100,0,1,0
132,1,4,500,0.947265625,22.68081665,0.40222168,4.164047241,0.931,3.723,0.108,1,1,1,1,100,0,1,0
133,1,1,500,1.434326172,23.39897156,0.545654297,7.226028442,1.312,4.044,0.284,1,1,1,1,100,0,1,0
134,1,3,200,1.030273438,19.30992126,0.47668457,5.793151855,1.012,3.268,-0.629,1,1,1,1,100,0,1,0
135,1,4,500,1.261444092,25.98114014,0.659637451,7.286682129,1.018,3.397,-0.321,1,1,0,0,100,0,1,0
136,1,1,200,0.905456543,20.8644104,0.814208984,8.14453125,0.883,2.532,-1.134,1,1,0,0,100,0,1,0
137,1,3,200,1.308746338,23.36662292,0.805511475,8.463745117,0.845,3.366,-0.369,1,1,0,0,100,0,1,0
138,1,4,500,0.043640137,2.945022583,0.043334961,1.093063354,0.635,3.343,-0.645,1,1,0,0,100,0,1,0
139,1,1,200,0.103302002,3.312072754,0.043334961,1.099014282,1.268,3.437,-0.5,1,1,0,0,100,0,1,0
140,1,3,500,1.515960693,31.37390137,0.813446045,7.434310913,0.672,3.393,-0.377,1,1,0,0,100,0,1,0
141,1,4,500,1.15020752,26.55174255,0.813598633,8.41293335,0.855,4.259,0.303,1,1,0,0,100,0,1,0
142,1,1,200,1.404571533,24.93515015,0.905151367,10.33889771,1.094,4.661,-0.757,1,1,0,0,100,0,1,0
143,1,3,500,0.026092529,2.855377197,0.043487549,1.086959839,0.615,2.61,-1.459,1,1,0,0,100,0,1,0
144,1,4,200,0.783691406,19.96505737,0.702819824,6.321411133,0.482,3.586,-0.708,1,1,0,0,100,0,1,0
145,1,1,200,0.710144043,15.19332886,0.667266846,4.858932495,1.311,3.515,-0.434,1,1,0,0,100,0,1,0
146,1,3,500,0.649871826,16.00944519,0.315856934,4.415969849,0.752,3.193,0.041,1,1,0,0,100,0,1,0
147,1,4,200,0.699768066,12.62748718,0.345916748,2.782211304,0.528,3.412,-0.249,1,1,0,0,100,0,1,0
148,1,1,500,0.081176758,3.174743652,0.043640137,1.086044312,1.015,3.248,-0.338,1,1,0,0,100,0,1,0
149,1,3,500,0.777282715,19.62516785,0.516357422,4.957733154,0.739,3.464,-0.264,1,1,0,0,100,0,1,0
150,1,4,200,3.143920898,65.20423889,0.986938477,12.82516479,0.453,0.532,1.088,1,1,1,0,100,0,1,0
151,1,1,500,0.652770996,10.75431824,0.042877197,1.214065552,0.61,1.532,0.608,0,1,1,0,100,0,1,0
152,1,3,200,1.522827148,27.27790833,0.341033936,4.079360962,0.695,2.397,0.278,1,1,1,1,100,0,1,0
153,1,4,200,1.195526123,18.04077148,0.525817871,6.712188721,0.646,2.42,0.598,1,1,1,1,100,0,1,0
154,1,1,500,1.288909912,25.7447052,0.697784424,5.852279663,0.408,1.905,0.976,1,1,0,0,100,0,1,0
155,1,3,200,1.387023926,29.7026062,0.899810791,11.9745636,0.639,1.888,0.793,1,1,0,0,100,0,1,0
156,1,4,500,1.559143066,35.4611969,1.131744385,12.05375671,0.155,2.097,-0.748,1,1,0,0,100,0,1,0
157,1,1,500,0.029754639,2.837905884,0.043640137,1.089782715,0.337,2.374,-0.155,1,1,0,0,100,0,1,0
158,1,3,200,1.391296387,23.67446899,0.772094727,10.02990723,0.489,2.575,0.411,1,1,0,0,100,0,1,0
159,1,4,500,1.256256104,23.62586975,0.852813721,8.076248169,0.431,2.663,0.445,1,1,0,0,100,0,1,0
160,1,1,200,1.940307617,47.27729797,1.350708008,14.34768677,0.495,2.657,-0.014,1,1,0,0,100,0,1,0
161,1,3,200,2.099609375,30.34080505,0.987854004,13.29284668,0.833,2.81,0.305,1,1,0,0,100,0,1,0
162,1,4,500,1.66015625,40.0252533,1.274108887,14.44587708,0.235,2.572,0.8,1,1,0,0,100,0,1,0
163,1,1,200,1.903686523,42.40158081,1.414794922,19.96513367,0.967,2.705,0.801,1,1,1,1,100,0,1,0
164,1,3,500,1.769866943,38.23753357,1.423187256,15.80368042,0.514,2.975,0.679,1,1,0,0,100,0,1,0
165,1,4,500,2.476959229,48.74649048,1.455230713,14.20570374,0.572,2.962,0.955,1,1,0,0,100,0,1,0
166,1,1,200,1.63848877,33.10935974,0.875549316,10.19645691,0.867,2.855,1.023,1,1,0,0,100,0,1,0
167,1,3,500,2.549743652,52.8527832,1.580657959,13.12866211,0.836,3.285,1.388,1,1,0,0,100,0,1,0
168,1,4,200,2.275848389,47.85728455,1.63192749,14.88395691,0.614,3.6,1.761,1,1,0,0,100,0,1,0
169,1,1,200,3.212890625,56.0974884,2.092437744,25.76576233,0.115,3.979,1.382,1,1,0,0,100,0,1,0
170,1,3,500,2.229766846,61.2625885,1.504364014,16.39320374,0.754,3.525,1.92,1,1,0,0,100,0,1,0
171,1,4,200,2.405853271,44.28764343,1.514434814,15.86425781,0.735,4.112,2.025,1,1,0,0,100,0,1,0
172,1,1,500,0.382080078,10.08209229,0.047454834,1.090164185,1.328,4.433,2.464,1,1,1,1,100,0,1,0
173,1,3,500,2.672424316,48.25675964,1.425933838,19.52781677,0.157,3.172,2.225,1,1,0,0,100,0,1,0
174,1,4,200,2.209472656,41.96662903,1.21963501,12.9889679,0.534,3.395,2.686,1,1,0,0,100,0,1,0
175,1,1,500,1.731109619,32.44338989,1.078796387,15.42015076,1.28,4.7,-0.408,1,1,1,1,100,0,1,0
176,1,3,200,1.492614746,21.73370361,0.521087646,5.243453979,0.671,3.851,-3.222,1,1,0,0,100,0,1,0
177,1,4,200,1.212463379,16.00845337,0.452575684,4.995727539,0.408,4.114,-1.975,1,1,0,0,100,0,1,0
178,1,1,500,1.354827881,25.91522217,0.272216797,3.082427979,0.755,4.055,-1.355,1,1,0,0,100,0,1,0
179,1,3,200,0.861968994,16.33468628,0.503845215,7.542037964,0.962,7.207,-0.088,1,1,0,0,100,0,1,0
180,1,4,500,0.57510376,9.547958374,0.293426514,2.667236328,0.415,2.852,1.279,1,1,0,0,100,0,1,0
181,1,1,500,0.7421875,16.0710144,0.370025635,4.332580566,0.434,2.92,1.471,0,1,0,0,100,0,1,0
182,1,3,200,0.80581665,15.43479919,0.37902832,3.504486084,0.971,2.905,1.409,1,1,0,0,100,0,1,0
183,1,4,500,0.914459229,14.38934326,0.409698486,4.481582642,0.244,3.921,1.313,1,1,0,0,100,0,1,0
184,1,1,200,0.897521973,14.45510864,0.518798828,6.067886353,1.118,3.895,0.87,1,1,0,0,100,0,1,0
185,1,3,200,0.853729248,16.89353943,0.595703125,5.369949341,0.721,3.882,1.036,1,1,0,0,100,0,1,0
186,1,4,500,1.449127197,21.74346924,0.47958374,3.417129517,1.107,4.559,2.044,1,1,0,0,100,0,1,0
187,1,1,200,1.122741699,21.85951233,0.690002441,6.028213501,0.94,3.94,1.177,1,1,0,0,100,0,1,0
188,1,3,500,1.288757324,24.75021362,0.838317871,9.053573608,0.903,4.079,1.709,1,1,0,0,100,0,1,0
189,1,4,500,1.208953857,24.15512085,0.645446777,6.695861816,0.719,3.599,2.262,1,1,0,0,100,0,1,0
190,1,1,200,1.266021729,23.58703613,0.795135498,6.894836426,0.174,4.215,2.517,1,1,0,0,100,0,1,0
191,1,3,500,1.744537354,18.24111938,0.559234619,4.571304321,1.748,4.189,1.97,1,1,1,1,100,0,1,0
192,1,4,200,1.38092041,25.67817688,0.783996582,7.909622192,0.549,3.897,1.303,1,1,0,0,100,0,1,0
193,1,1,200,1.001739502,23.49838257,0.823059082,8.761520386,1.312,4.044,1.045,1,1,0,0,100,0,1,0
194,1,3,500,1.11038208,26.12319946,0.806884766,8.744659424,0.338,4.211,2.353,1,1,0,0,100,0,1,0
195,1,4,200,1.326293945,25.30426025,0.892181396,7.013931274,0.618,3.582,3.305,1,1,0,0,100,0,1,0
196,1,1,500,1.142425537,21.47140503,0.792694092,6.114807129,0.766,3.146,3.787,1,1,0,0,100,0,1,0
197,1,3,500,1.004943848,23.54499817,0.597229004,6.303787231,0.417,2.959,4.085,1,1,0,0,100,0,1,0
198,1,4,200,1.399688721,20.01937866,0.634460449,5.077133179,0.43,3.702,3.899,1,1,0,0,100,0,1,0
199,1,1,500,1.021881104,20.55290222,0.756988525,7.232055664,0.347,4.017,4.45,1,1,0,0,100,0,1,0
200,1,3,200,2.631835938,55.56556702,0.663146973,5.327377319,1.099,1.986,4.477,1,1,1,1,100,0,1,0
201,1,4,200,0.873565674,20.7232666,0.662689209,6.625061035,0.184,3.18,1.549,1,1,1,1,100,0,1,0
202,1,1,500,1.109466553,23.09402466,0.502624512,6.623535156,0.825,2.891,1.7,1,1,1,1,100,0,1,0
203,1,3,200,1.2550354,16.29058838,0.089569092,1.111068726,1.379,3.774,2.433,1,1,0,0,100,0,1,0
204,1,4,500,1.375579834,21.73942566,0.404205322,3.436889648,0.452,3.19,2.438,1,1,1,1,100,0,1,0
205,1,1,500,1.171569824,21.47468567,0.391082764,3.537216187,0.931,3.211,2.338,1,1,1,1,100,0,1,0
206,1,3,200,1.285247803,30.32531738,0.465240479,5.110855103,1.023,2.324,6.405,1,1,1,1,100,0,1,0
